_id,food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium,cholesterol
6846e41bf944a41ef73f9f76,"Applebee'S, Chick Tenders Platter",297.0,19.62,17.98,16.24,1.0,0.36,740.0,52.0
6846e41bf944a41ef73f9f77,"Applebee'S, Chick Tenders, From Kids' Menu",296.0,19.25,18.36,16.15,1.2,0.39,763.0,51.0
6846e41bf944a41ef73f9f78,"Applebee'S, Chili",157.0,12.56,4.57,9.79,1.4,2.27,381.0,45.0
6846e41bf944a41ef73f9f79,"Applebee'S, Coleslaw",120.0,0.79,13.17,7.09,2.8,9.33,178.0,2.0
6846e41bf944a41ef73f9f7a,"Applebee'S, Crunchy Onion Rings",356.0,4.58,40.17,19.61,3.1,4.48,833.0,40.2
6846e41bf944a41ef73f9f7b,"Applebee'S, Double Crunch Shrimp",323.0,12.31,25.96,18.9,2.6,1.07,838.0,86.0
6846e41bf944a41ef73f9f7c,"Applebee'S, Fish,Hand Battered",202.0,13.23,16.65,9.14,0.9,0.51,607.0,34.0
6846e41bf944a41ef73f9f7d,"Applebee'S, French Fr",290.0,3.31,39.5,13.17,3.9,0.0,618.0,1.0
6846e41bf944a41ef73f9f7e,"Applebee'S, Kraft,Macaroni & Chs, From Kid'S Menu",143.0,5.01,21.08,4.34,1.3,3.7,288.0,7.0
6846e41bf944a41ef73f9f7f,"Applebee'S, Mozzarella Stks",316.0,14.87,22.87,18.37,2.1,2.8,838.0,33.0
6846e41bf944a41ef73f9f80,"Apples, Canned,Swtnd, Sliced,Drnd, Htd",67.0,0.18,16.84,0.43,2.0,14.84,3.0,0.0
6846e41bf944a41ef73f9f81,"Apples, Canned,Swtnd, Sliced,Drnd, Unhtd",67.0,0.18,16.7,0.49,1.7,15.0,3.0,0.0
6846e41bf944a41ef73f9f82,"Apples, Dehyd (Lo Moist),Sulfured, Stwd",74.0,0.28,19.91,0.12,2.6,8.548,26.0,0.0
6846e41bf944a41ef73f9f83,"Apples, Dehyd (Lo Moist),Sulfured, Unckd",346.0,1.32,93.53,0.58,12.4,81.13,124.0,0.0
6846e41bf944a41ef73f9f84,"Apples, Dried,Sulfured, Stwd,w/ Sugar",83.0,0.2,20.73,0.07,1.9,13.773999999999996,19.0,0.0
6846e41bf944a41ef73f9f85,"Apples, Dried,Sulfured, Stwd,Wo/ Sugar",57.0,0.22,15.32,0.07,2.0,13.32,20.0,0.0
6846e41bf944a41ef73f9f86,"Apples, Dried,Sulfured, Unckd",243.0,0.93,65.89,0.32,8.7,57.19,87.0,0.0
6846e41bf944a41ef73f9f87,"Apples, Frz,Unswtnd, Htd",47.0,0.29,12.0,0.33,1.3,8.440000000000001,3.0,0.0
6846e41bf944a41ef73f9f88,"Apples, Frz,Unswtnd, Unhtd",48.0,0.28,12.31,0.32,1.3,10.1,3.0,0.0
6846e41bf944a41ef73f9f89,"Apples, Raw,Fuji, w/ Skn",63.0,0.2,15.22,0.18,2.1,11.68,1.0,0.0
6846e41bf944a41ef73f9f8a,"Apples, Raw,Gala, w/ Skn",57.0,0.25,13.68,0.12,2.3,10.37,1.0,0.0
6846e41bf944a41ef73f9f8b,"Apples, Raw,Golden Delicious, w/ Skn",57.0,0.28,13.6,0.15,2.4,10.04,2.0,0.0
6846e41bf944a41ef73f9f8c,"Apples, Raw,Granny Smith, w/ Skn",58.0,0.44,13.61,0.19,2.8,9.59,1.0,0.0
6846e41bf944a41ef73f9f8d,"Apples, Raw,Red Delicious, w/ Skn",59.0,0.27,14.06,0.2,2.3,10.48,1.0,0.0
6846e41bf944a41ef73f9f8e,"Apples, Raw,with Skin",52.0,0.26,13.81,0.17,2.4,10.39,1.0,0.0
6846e41bf944a41ef73f9f8f,"Apples, Raw,Without Skin",48.0,0.27,12.76,0.13,1.3,10.1,0.0,0.0
6846e41bf944a41ef73f9f90,"Apples, Raw,Wo/ Skn, Cooked,Microwave",56.0,0.28,14.41,0.42,2.8,11.61,1.0,0.0
6846e41bf944a41ef73f9f91,"Apples, Raw,Wo/Skn, Cooked,Bld",53.0,0.26,13.64,0.36,2.4,11.01,1.0,0.0
6846e41bf944a41ef73f9f92,"Applesauce, Canned,Swtnd, w/Salt",76.0,0.18,19.91,0.18,1.2,9.964,28.0,0.0
6846e41bf944a41ef73f9f93,"Applesauce, Canned,Swtnd, Wo/ Salt (Includes Usda Commodity)",68.0,0.16,17.49,0.17,1.2,14.67,2.0,0.0
6846e41bf944a41ef73f9f94,"Applesauce, Canned,Unswtnd, w/ Vit C",42.0,0.17,11.27,0.1,1.1,9.39,2.0,0.0
6846e41bf944a41ef73f9f95,"Applesauce, Canned,Unswtnd, Wo/Added Vit C (Includes Usda Commod)",42.0,0.17,11.27,0.1,1.1,9.39,2.0,0.0
6846e41bf944a41ef73f9f96,"Apricot Nectar, Canned,w/ Vit C",56.0,0.37,14.39,0.09,0.6,13.24,3.0,0.0
