food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
chocolate wafer cookies,"2,092 kj
(500 kcal)",3.333 g,63.333 g,26.667 g,3.333 g,30 g,
Soy beverage - Soy Milky - 1litre,"163 kj
(39 kcal)",0.5 g,0.4 g,1.8 g,1.3 g,0.9 g,0.3 g
MAD ANGLES - ITC - 80g,"2,230 kj
(533 kcal)",5.8 g,57.4 g,31.8 g,,6 g,1.914 g
Waffy Chocolate - Dukes - 60g,"2,092 kj
(500 kcal)",46.67 g,0 g,23.33 g,70 g,0 mg,0 g
Mysore Sandal Soap,,,,,,,0%
Hot and sour soup - Ching's Secret - 55 g,"1,369 kj
(327 kcal)",5.273 g,74.545 g,1.273 g,,29.091 g,21.9 g
Brianna treat jimjam - Britannia - 100 g,,,,,,,0%
Silk chocolate - Cadbury,"2,273.43 kj
(543 kcal)",55.3 g,0.1 g,31.4 g,58.5 g,"26,700 mg",
Apple drink - johnson and Johnson - 200 ml,"209 kj
(50 kcal)",0 g,12 g,0 g,,12 g,0.292 g
VitaminWater,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0 g
Honey Buttee Almond - Murgerbon - 200g,"2,190 kj
(523 kcal)",20 g,46.667 g,30 g,33.333 g,20 g,0.733 g
Hershey's cocoa powder - Hershey's Hershey's kitchens - 225 g,"1,711 kj
(409 kcal)",19.6 g,57.9 g,11 g,33.2 g,1.8 g,
Himalaya honey - Apis - 500,"319 kj
(319 kcal)",0.3 g,79.5 g,0 g,0 g,0.9 g,
Puffcorn - Kurkure - 28,"2,243 kj
(536 kcal)",,0.1 g,27.1 g,4.5 g,66.5 g,6.4 g
Appy - parle agro - 160ml,"264 kj
(63 kcal)",0 g,15.8 g,0 g,0 g,15.8 g,
Cadbury bournville premium chocolate - 31 g,"2,275 kj
(543 kcal)",5.5 g,55.1 g,35 g,,45.1 g,
Takatak Chatpata Masala - Haldiram's - 71g,"2,272 kj
(543 kcal)",,0.1 g,35 g,0.5 g,50 g,7 g
Lays Classics Salted - Lay's,"2,318 kj
(554 kcal)",7 g,51.7 g,35.5 g,0 g,2.6 g,0.51 g
Flirty Tomato Tango - Lay's - 29.5g,"2,272 kj
(543 kcal)",7.1 g,53.2 g,33.5 g,,5.1 g,1.718 g
Curls Crax - 23g,"1,883 kj
(450 kcal)",6.3 g,62 g,24 g,,2.3 g,3.45 g
Bisleri - 500ml,,,,,,,0%
Balaji Wafers - 35 g,"2,201 kj
(526 kcal)",4.8 g,58.1 g,30.5 g,,8.1 g,0 g
Moong Dal - Haldiram's - 35 g,"1,992 kj
(476 kcal)",21.31 g,50.66 g,20.93 g,,0 g,0.4 g
Bhujia Sev - Haldiram's - 150 grams,"2,510 kj
(600 kcal)",12 g,38 g,44 g,4 g,0 g,1.95 g
Chocos Fills - kellogg's - 250 g,"527 kj
(126 kcal)",7 g,72 g,14 g,5 g,30.5 g,0.75 g
Corn Flakes Original - kelloggs - 250 g,"1,590 kj
(380 kcal)",6.667 g,87 g,1 g,2.667 g,8.333 g,1.25 g
Doritos Nacho Cheese Flavours - PepsiCo - 75 g,"2,113 kj
(505 kcal)",,0.1 g,24.9 g,4.3 g,63.8 g,6.4 g
Amul pasteurised butter - 250,"418 kj
(100 kcal)",0 g,0 g,11 g,0 g,0 g,0.12 g
Maggi Masala 2 Minute 2 Noodles - 280 GM - Nestle - 70g,"1,787 kj
(427 kcal)",8 g,63.5 g,15.7 g,3.6 g,2.2 g,11.72 g
Tulsi green tea tea by - Organic India - 43.75 g,"536 kj
(128 kcal)",3 g,15 g,6 g,0 g,1 g,0 g
Teriyaki Dip Sauce Marinade - Marks & Spencer - 305 g,"711 kj
(170 kcal)",2 g,39.4 g,0.3 g,0.8 g,33.9 g,2.58 g
Diet Coke Can - 200ml,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,
Protein Powder,,,0 g,0 g,,,
Oreo Cream Biscuit - Cadbury - 120 g,"2,021 kj
(483 kcal)",5.3 g,71.4 g,19.7 g,0 g,38 g,1.05 g
FRUIT N' NUT Dark Chocolate - Amul - 150g,"2,088 kj
(499 kcal)",,0 g,32.5 g,38.3 g,46.7 g,7.2 g
Sprite - 2.25l,"0.978 kj
(1 kcal)",3.42 g,3.42 g,1.47 g,1.96 g,2.44 g,2.44 g
Red Chilli Sauce,"837 kj
(200 kcal)",0 g,40 g,0 g,0 g,20 g,6 g
Glucon-D - 125gm,"1,506 kj
(360 kcal)",0 g,90 g,,,,
Masala Oats - Saffola - 500 g,"1,423 kj
(340 kcal)",9.9 g,71.8 g,7.2 g,12.9 g,5.7 g,6.005 g
Monster Energy Drink - 100000000000000 ml,"699 kj
(167 kcal)",0 g,42 g,0 g,,39 g,0.408 g
masala munch - PepsiCo India holdings Pvt.Ltd - 44g,"2,326 kj
(556 kcal)",0 g,0.1 g,33.7 g,1.7 g,56.8 g,6.4 g
Real Fruit Power Pomegranate - Dabur - 1 l,"226 kj
(54 kcal)",,0 g,0 g,13.5 g,13.5 g,0.1 g
Bisleri Water - 250ml,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,0 g
Party Snack - Tong Garden,"2,092 kj
(500 kcal)",20 g,50 g,23.333 g,10 g,6.667 g,1.083 g
Amul Dark chocolate - 150g,"2,180 kj
(521 kcal)",6.4 g,51.4 g,33.1 g,0 g,85.5 g,95 g
Chocapic,"1,611 kj
(385 kcal)",8.6 g,73.3 g,4.6 g,8 g,24.9 g,0.22 g
Kabuto Noodles Chicken Ramen,"297 kj
(71 kcal)",2.6 g,13.1 g,0.9 g,0.7 g,2 g,0.9 g
Jelly Belly Gourmet Jelly Beans - 4 lbs,"1,534 kj
(366 kcal)",0 g,93.333 g,0 g,,70 g,0.083 g
Saffola oats,"25 kj
(6 kcal)",12.6 g,66.8 g,1.6 g,10.4 g,0.5 g,
Thums up - thumbs up - 250 ml,"163 kj
(39 kcal)",0 g,9.7 g,0 g,0 g,9.5 g,0.055 g
Haldiram moong dal - 200 g,"1,994 kj
(238 kcal)",21.3 g,50.66 g,20.93 g,7.52 g,0 g,0.063 g
Goody - 340g,"753 kj
(180 kcal)",2 g,< 0.1 g,15 g,4 g,8 g,7 g
Coke - Coca-Cola - 750cl,"184 kj
(44 kcal)",0 g,11 g,0 g,,11 g,
Hide & Seek - PARLE - 120g,"2,004 kj
(479 kcal)",5.9 g,73.4 g,18 g,0 g,32.2 g,0 g
Sweetened multi grain cereal with marshmallows - Kellogg's,"1,587 kj
(379 kcal)",0 mg,0 g,3.45 g,0 g,0 g,89.66 g
Dark Fantasy - Sunfeast - 20g,"2,109 kj
(504 kcal)",,0.1 g,25 g,37.6 g,63.9 g,5.7 g
Kinley Mineral Water - 1 l,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0 g
Kurkure Masala Munch - 95 g,"2,335 kj
(558 kcal)",6.4 g,55.2 g,34.6 g,,1.4 g,2.23 g
Coke - Coca-Cola - 355 ml,"0 kj
(0 kcal)",0 g,0 g,0 g,,0 g,0.02 g
Rillettes de saumon - Le Père Eugène,"849 kj
(203 kcal)",13.6 g,1.7 g,15.6 g,,1.1 g,0.8 g
Chyawanprash with Saffron - Patanjali - 500 g,,,,,,,0%
Creme fraiche - Delhaize - 250 ml,"900 kj
(215 kcal)",2.3 g,5.1 g,20.2 g,0.3 g,3.2 g,0.1 g
Milk Bikis -  - 200 g,"2,084 kj
(498 kcal)",7 g,68 g,22 g,,31.5 g,0 g
Отруби хрустящие - Диетмарка - 200 g,"879 kj
(210 kcal)",15 g,30 g,3.5 g,45 g,,
Bonbons longs gélifiés qui piquent - U - 200 g,"1,527 kj
(358 kcal)",2.7 g,79 g,2.5 g,0.8 g,55 g,0.53 g
Chocolate - Cadbury - 20 g,"2,205 kj
(527 kcal)",5.6 g,64.2 g,27.9 g,,61 g,0.231 g
Cantucci Toscani - Fine food - Coop - 250 g e,"1,890 kj
(471 kcal)",12 g,64 g,18 g,3 g,24 g,0.775 g
3.76029E+12,"1,469 kj
(351 kcal)",11.9 g,35.8 g,18.6 g,,11.4 g,0 g
La Trappe Isidor - Brasserie Koningshoeven - 33 cl,,,,Metal,,,
Biere abbaye St Erwann 7° - Britt - 12*25 cl,"192 kj
(46 kcal)",0.6 g,2.2 g,2.2 g,,0.6 g,0 g
Ketchup P'tits Heinz - 280 ml - 310 g,"336 kj
(80 kcal)",1.7 g,16.7 g,0.4 g,,15.9 g,2.3 g
Nescafe Classic Pure Coffee - Nestle - 25 g,"42 kj
(10 kcal)",0 g,10 g,0 g,0 g,7 g,0 g
Haldiram's Moong Dal - 200g,"1,912 kj
(457 kcal)",0 g,0 g,20 g,51.43 g,0 mg,5.7 g
Dairy milk chocolate - cadbury - 13.2g,"2,218 kj
(530 kcal)",5.9 g,64.1 g,27.7 g,2 g,61.2 g,0.254 g
Smiles - Mc Cain - 750 g,"803 kj
(192 kcal)",2.97 g,27.58 g,7.73 g,,< 0.4 g,
Crousty chicken - Le gaulois,"873 kj
(208 kcal)",19 g,16 g,7.2 g,1.5 g,1.4 g,1.3 g
Boost Plain - 500 g,"320 kj
(76 kcal)",,16.4 g,0.5 g,,1.9 g,
Potato Chips Salt & Vinegar Flavour - Lay's,"2,238 kj
(535 kcal)",7.4 g,46 g,36 g,5.2 g,0.7 g,2.278 g
Potato Chips Salted - Lay's - 36 g,"2,240 kj
(535 kcal)",7.4 g,46 g,36 g,5.2 g,0.7 g,1.341 g
50-50 - Britannia - 50g,"2,100 kj
(502 kcal)",7 g,60 g,26 g,,10 g,
Veg hakka -,"1,562 kj
(373 kcal)",12.667 g,78 g,1 g,,0 g,1.208 g
Lays -  - 55 g,"1,312 kj
(313 kcal)",3.846 g,30.769 g,21.154 g,0 g,1.923 g,1.361 g
Tata salt - 1kg,"0 kj
(0 kcal)",0 g,0 g,0 g,0 g,0 g,0.092 g
Royco Minutesoep X3 Groenten Supreme,"151 kj
(36 kcal)",0.6 g,4.4 g,1.6 g,,0.6 g,0.85 g
Acras de morue - Carrefour - 160 g,"917 kj
(219 kcal)",8.4 g,21 g,10 g,3.2 g,3.5 g,1.7 g
Amul Cheese chiplet - 200g,"1,339 kj
(320 kcal)",0 g,70 mg,28 g,0 g,0 g,20 g
Rooh Afza - hamdard - 750 ml,"1,732 kj
(414 kcal)",0.5 g,100 g,0 g,0 g,3.5 g,
Huile D'olive  Vierge extra - Cauvin,"3,700 kj
(900 kcal)",0 g,81 g,100 g,0 g,5 g,0 g
Taboulé à l'orientale - 250 g,"854 kj
(204 kcal)",4.3 g,25 g,9.3 g,,3.8 g,1.2 g
Cadbury Dairy Milk Chocolate - 24g,"2,234 kj
(534 kcal)",8.1 g,60.4 g,28.9 g,,57.3 g,0.396 g
amul taaza toned milk - 500 ml,3.5 g,0 g,0 g,,3 g,0 g,0 % vol
Tamari soya sauce - Lima - 1 l,"402 kj
(96 kcal)",12 g,5.3 g,0 g,0.9 g,1.7 g,10.3 g
Noix de cajou nature - Boni - 250 g,"2,431 kj
(581 kcal)",18 g,27 g,44 g,3.3 g,5.9 g,0.03 g
Amul butter - 100.0 g,"3,021 kj
(722 kcal)",0.5 g,0 g,80 g,0 g,0 g,2.09 g
FROOTI - Parle Agro - 600 ml,"272 kj
(65 kcal)",0 g,16.2 g,0 g,0 g,15.8 g,0 g
Parle - 22g,,0.1 g,0 g,,9.2 g,0 g,0 % vol
Ritter Sport Noir Noisettes Entières - 100 g,"2,384 kj
(570 kcal)",,19 g,40 g,37 g,40 g,8.2 g
Nutella & Go! - 48 g e,"2,130 kj
(509 kcal)",7.4 g,62 g,25 g,,42.3 g,0.686 g
coco cola company - sprite - 250 ml,"205 kj
(49 kcal)",0 g,12.2 g,0 g,,11.7 g,0.025 g
Aashirvaad - ITC - 5Kg,"1,544 kj
(369 kcal)",10.8 g,77.4 g,1.8 g,11.1 g,5.6 g,0 g
Maggi Masala Noodles - Nestle - 140g,"1,787 kj
(427 kcal)",8 g,63.5 g,15.7 g,3.6 g,1.2 g,2.931 g
Buttermilch - Dessert - Sachsen Milch - 200 g,"452 kj
(108 kcal)",3.6 g,13.4 g,4.1 g,,12.9 g,0.17 g
masala - Lay's - 30g,"2,255 kj
(539 kcal)",,0.1 g,33.1 g,2.5 g,53.4 g,6.9 g
San remo vegeroni shapes 375g - Unknownn,,,,,,,0%
Chocolate syrup - Hershey's - 200g,"1,157 kj
(276 kcal)",1.27 g,66.6 g,0.56 g,0 g,63.7 g,6 g
Coffee - nescafé - 50g,"4 kj
(1 kcal)",0.1 g,0 g,0 g,0 g,0.3 g,0 g
Sunfeast Dark Fantasy Choco Fills -  - 20,"2,109 kj
(504 kcal)",5.7 g,63.9 g,25 g,,37.6 g,0.1 g
Amul Taaza - 1L,"243 kj
(58 kcal)",3 g,0 g,3 g,,0 g,4.8 g
Barritas alteza de platano y chocolate,"1,774 kj
(424 kcal)",5.8 g,69 g,13 g,,29 g,0.4 g
Maggi 2-minutes Noodles - 70 g,"1,828 kj
(437 kcal)",3.9 g,0.24 g,15.7 g,5 g,44.5 g,10.4 g
MARCO CRUNCHY PEANUT BUTTER - 410 g,"874 kj
(209 kcal)",8 g,6 g,17 g,1 g,2 g,0.162 g
Peanut butter creamy - Dr.Oetker FunFood - 925 g,"2,684 kj
(641 kcal)",26.3 g,19.3 g,51 g,,7.5 g,
American Style Cream & Onion - Lay's - 24g,"2,276 kj
(544 kcal)",7.8 g,51.6 g,34 g,,2 g,1.885 g
Fresh Tomato Ketchup - Kissan - 950g,"3,720 kj
(889 kcal)",8.67 g,204 g,4.4 g,4 g,195 g,2.4 g
Passendale classic - 190g (5*38g),"1,477 kj
(353 kcal)",23 g,0 g,29 g,0 g,0 g,1.5 g
Crousti Bistro Express - Findus,"854 kj
(204 kcal)",3.2 g,29 g,7.8 g,2.4 g,0.5 g,
Chicken noodles - Maggi - 71 G,"1,816 kj
(434 kcal)",8.5 g,64.9 g,15.6 g,2 g,1.7 g,3.138 g
"Pepsi - 1,5 L","176 kj
(42 kcal)",0 g,10.4 g,0 g,0 g,10.4 g,< 0.01 g
Diet coke - The Coca-Cola Company - 500 ml,"1.6 kj
(0 kcal)",0 g,0 g,0 g,58 g,0 g,0 g
Heinz Tomato ketchup - 400ml,"435 kj
(102 kcal)",1.2 g,23.2 g,0.1 g,,22.8 g,1.8 g
Chips barbecue - Lay's - 130 g,"2,221 kj
(532 kcal)",6.4 g,52 g,32 g,4.4 g,2.8 g,1.3 g
