food_item,calories,proteins,carbohydrates,fats,fibers,sugars,sodium
e-Millet cookies - Moon Foods - 150g,"2,115 kj
(505 kcal)",5.3 g,63.5 g,23.5 g,0.37 g,,
Modern Sandwich Supreme - Modern Foods - 600 g,"1,063 kj
(254 kcal)",7.9 g,51 g,2.1 g,,6.3 g,
Twister - Delfi - 320g,5 g,0.19 g,15 g,,2 g,,
Special Mukhwas - Natraj Auroville - 200,,,,,,,0%
OMG! Oh My Ganna Ginger Groove - Nutricane - 250 ml,"205 kj
(48 kcal)",0 g,9.14 g,0 g,,9.14 g,
Crunchy Nutty Peanut Butter - United Foods - 12 oz,"2,724 kj
(651 kcal)",9.46 g,31.9 g,53.45 g,18.23 g,10.02 g,4.75 g
Jeera Special - BTW - 400 g,"2,067 kj
(494 kcal)",7.8 g,0.1 g,28.08 g,52.02 g,0.79 mg,1.78 g
Jus de mangue - Paper boat - 180ml,"259 kj
(62 kcal)",0.1 g,15.5 g,0.1 g,,12.5 g,0.1 g
Chikki - paper boat - 31 g,"2,082 kj
(497 kcal)",13.9 g,56.5 g,24 g,,34 g,
Bitterly Osmania Biscuits - Karachi Bakery - 300 g,"2,284 kj
(546 kcal)",7 g,58 g,32 g,6 g,8 g,1.704 g
Snakker - Priyagold - 24 g,"2,008 kj
(480 kcal)",0 mg,1 g,21.9 g,< 0.1 g,0.1 g,64.6 g
Choco Vanilla - Cream Bell - 65 ml,"1,029 kj
(246 kcal)",,0.14 g,17.1 g,15.2 g,20 g,2.9 g
Fantasia Ice Cream Sandwich - Cream Bell - 80 ml,"883 kj
(211 kcal)",,0 g,7.6 g,14.3 g,32 g,3.9 g
Idly & Dosa Batter - iD - 1kg,"600 kj
(143 kcal)",5.5 g,26.3 g,1.6 g,,0 g,0.234 g
Plain salted potato chips - Yellow diamond - 35g,"2,297 kj
(548 kcal)",8.46 g,52.4 g,33.94 g,,1 g,0.519 g
Khakhra -,"2,046 kj
(489 kcal)",10 g,65 g,21 g,,3 g,2 g
Orange Cake - Milka Wonder Cake - 150 g,"1,770 kj
(423 kcal)",,"127,000 mg",19.17 g,24.87 g,55.73 g,6.92 g
Sona Masuri Rice - Kalyani - 5 Kg,,,,,,,0%
Haldirams Bhujia - 1 kg,"2,430 kj
(580 kcal)",13.9 g,39.5 g,40.8 g,,3.9 g,
Halirams Bhujiya sev - haldirams - 1 kg,"2,477 kj
(592 kcal)",12.93 g,37.14 g,43.5 g,,0 g,0.771 g
Yummy Elaichi Flavoured Sandwich - Anmol - 100 g,"2,027 kj
(484 kcal)",0 mg,6.05 g,17.98 g,0 g,2.59 g,73.41 g
Yummy Orange Flavoured Sandwich - Anmol - 100g,"2,008 kj
(480 kcal)",0 mg,7.46 g,17.63 g,0 g,0 g,72.39 g
Krack Jack Medium Pack -,,,,,,,0%
Cheeslings Classic - Monaco - 300 g,"2,121 kj
(507 kcal)",8.4 g,65.2 g,23.6 g,,3.3 g,
Cheeselings - Classic - Parle - 150 g,"489 kj
(117 kcal)",8.2 g,69 g,20 g,,3.3 g,2.8 g
Manchow Instant Noodles - Capital Foods - 60 g,"1,067 kj
(255 kcal)",0 g,0 g,10.3 g,0.3 g,33.2 g,7.4 g
Del Monte Tomato Ketchup - 1 kg,"653 kj
(156 kcal)",2 g,37 g,0 g,,25 g,
Nutties - Cadbury - 30 grams,,,,,,,0%
Sofit Soya Milk - 200 ml,"285 kj
(68 kcal)",6.4 g,3.6 g,3.2 g,,0 g,0 g
tata tea gemini,,,,,,,0%
Lipton Green tea - 13g,,,,,,,0%
Dr. Oetker - 275g,"2,377 kj
(568 kcal)",4.5 g,12.3 g,55.7 g,,5.7 g,
Chewing gum Green Fresh pack de 4 - Hollywood,"2,678 kj
(640 kcal)",0.4 g,,,0 g,0.1 g,0.01 g
Pierre Martinet Mon taboulé a poulet à la ciboulette la barquette de 300 g,"669 kj
(160 kcal)",5.4 g,21 g,5.7 g,0 g,3.3 g,0.95 g
"Yaourts Gervais Aux Fruits, 24x50g 18+6 Gratuits","397 kj
(95 kcal)",6.3 g,,,0 g,11.9 g,0.08 g
Coorg Bee Honey -  - 250 g,"1,335 kj
(319 kcal)",0.4 g,2.4 g,0 g,,,18.796 g
Horlicks,"1,548 kj
(370 kcal)",10 g,78 g,2 g,0 g,14 g,0.362 g
JALIMALS,"8 kj
(1 kcal)",,,,,,
Sizzlin Jalapeno Nacho Crisps - Cornitos - 33g,21.4 g,2.06 g,3.57 g,,7.14 g,3.57 g,0 % vol
Toastea - Britannia - 273 g,8.3 g,,,3.9 g,9 g,,
Moisturiser - Sukin - 125ml,,,,,,,0%
lays potato chips - Lay's - 28g,"2,276 kj
(544 kcal)",7 g,54.7 g,33 g,,6 g,1.717 g
pasta - 200g,"96 kj
(23 kcal)",78 g,12 g,26 g,6 g,25 g,20 g
Soya chunks - 100g,"1,460 kj
(349 kcal)",51 g,34 g,1 g,17 g,16 g,0 g
Pasteurised standardised milk - Sudha - 500 ml,"303 kj
(72 kcal)",,15 mg,4.5 g,,4.95 g,3 g
